,region,CIDR,VPCID,OVERLAPS
0,eu-north-1b,172.31.32.0/20,vpc-33028f5a,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
1,eu-north-1a,172.31.16.0/20,vpc-33028f5a,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
2,eu-north-1c,172.31.0.0/20,vpc-33028f5a,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
3,ap-south-1a,172.31.32.0/20,vpc-c033f7ab,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
4,ap-south-1b,172.31.0.0/20,vpc-c033f7ab,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
5,ap-south-1c,172.31.16.0/20,vpc-c033f7ab,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
6,eu-west-3b,172.31.16.0/20,vpc-6164a009,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
7,eu-west-3c,172.31.32.0/20,vpc-6164a009,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
8,eu-west-3a,172.31.0.0/20,vpc-6164a009,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
9,eu-west-2c,172.31.0.0/20,vpc-e0436188,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
10,eu-west-2b,172.31.32.0/20,vpc-e0436188,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
11,eu-west-2a,172.31.16.0/20,vpc-e0436188,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
12,eu-west-1a,172.31.32.0/20,vpc-222c8d5b,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
13,eu-west-1c,172.31.16.0/20,vpc-222c8d5b,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
14,eu-west-1b,172.31.0.0/20,vpc-222c8d5b,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
15,ap-northeast-3b,172.31.16.0/20,vpc-a5a4d4cc,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
16,ap-northeast-3a,172.31.32.0/20,vpc-a5a4d4cc,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
17,ap-northeast-3c,172.31.0.0/20,vpc-a5a4d4cc,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
18,ap-northeast-2d,172.31.48.0/20,vpc-6ded6306,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
19,ap-northeast-2a,172.31.0.0/20,vpc-6ded6306,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
20,ap-northeast-2b,172.31.16.0/20,vpc-6ded6306,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
21,ap-northeast-2c,172.31.32.0/20,vpc-6ded6306,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
22,ap-northeast-1a,172.31.32.0/20,vpc-7b72841d,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
23,ap-northeast-1d,172.31.16.0/20,vpc-7b72841d,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
24,ap-northeast-1c,172.31.0.0/20,vpc-7b72841d,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
25,sa-east-1a,172.31.0.0/20,vpc-007a8466,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
26,sa-east-1b,172.31.16.0/20,vpc-007a8466,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
27,sa-east-1c,172.31.32.0/20,vpc-007a8466,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
28,ca-central-1d,172.31.32.0/20,vpc-3b8abc53,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
29,ca-central-1a,172.31.16.0/20,vpc-3b8abc53,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
30,ca-central-1b,172.31.0.0/20,vpc-3b8abc53,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
31,ap-southeast-1a,172.31.32.0/20,vpc-a1d711c7,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
32,ap-southeast-1b,172.31.16.0/20,vpc-a1d711c7,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
33,ap-southeast-1c,172.31.0.0/20,vpc-a1d711c7,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
34,ap-southeast-2c,10.20.2.0/24,vpc-0a6d4142eb0b78072,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
35,ap-southeast-2c,172.31.16.0/20,vpc-a3f41fc5,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
36,ap-southeast-2b,172.31.32.0/20,vpc-a3f41fc5,"['vpc-33028f5a', 'vpc-c033f7ab', 'vpc-6164a009', 'vpc-e0436188', 'vpc-222c8d5b', 'vpc-a5a4d4cc', 'vpc-6ded6306', 'vpc-7b72841d', 'vpc-007a8466', 'vpc-3b8abc53', 'vpc-a1d711c7', 'vpc-a3f41fc5', 'vpc-a541d0cf', 'vpc-292ba754', 'vpc-d6fb6cbd']"
